text,label
"ОАК передала авиакомпании новый самолет SJ-100",авиация
"ОДК завершила испытания двигателя ПД-14",авиация
"На авиазаводе началась сборка новых самолетов МС-21",авиация
"Казанский вертолетный завод увеличил выпуск вертолетов",авиация
"Ростех сообщил о поставке новых авиадвигателей",авиация
"Самолет Ту-214 проходит очередной этап летных испытаний",авиация
"Предприятие ОАК модернизирует производство авиационных компонентов",авиация
"Новый беспилотник прошел испытания на аэродроме",авиация
"ОДК разработала двигатель для российских самолетов",авиация
"На авиапредприятии открыли линию сборки авиационных систем",авиация
"Производитель БПЛА увеличил выпуск беспилотников",авиация
"На заводе начали серийное производство самолетов Ил-76",авиация
"Разработчик авиационных систем представил новую авионику",авиация
"В Ростехе сообщили о модернизации самолета SSJ",авиация
"Российские инженеры завершили испытания вертолета Ми-8",авиация
"На предприятии выпустили опытный образец авиадвигателя",авиация
"Авиастроительный завод обновил производственную линию",авиация
"Компания поставила комплектующие для самолетов МС-21",авиация
"На аэродроме протестировали новый беспилотный аппарат",авиация
"Разработчики представили новый авиационный двигатель",авиация
"ОСК модернизирует судостроительную верфь",судостроение
"Севмаш построит новую атомную подводную лодку",судостроение
"На Северной верфи заложили новый фрегат",судостроение
"Адмиралтейские верфи спустили на воду новое судно",судостроение
"Балтийский завод продолжает строительство ледокола",судостроение
"Красное Сормово передало заказчику новый танкер",судостроение
"Судостроительный завод начал ремонт корабля",судостроение
"На верфи построят серию краболовов",судостроение
"ОСК развивает производство судового оборудования",судостроение
"Севмаш завершил этап строительства корабля для ВМФ",судостроение
"На заводе начали строительство нового тральщика",судостроение
"Судоремонтное предприятие модернизировало производственные мощности",судостроение
"Верфь приступила к строительству пассажирского судна",судостроение
"На Балтийском заводе изготовили секции ледокола",судостроение
"Корабелы завершили испытания нового судна",судостроение
"На предприятии обновили оборудование для судостроения",судостроение
"ОСК расширяет производство морской техники",судостроение
"На верфи заложили новый корвет",судостроение
"Предприятие изготовило винторулевые колонки для судов",судостроение
"Российская верфь начала выпуск судового оборудования",судостроение
"РУСАЛ увеличил выпуск алюминия",металлургия
"Норникель внедрил новую технологию переработки руды",металлургия
"Северсталь модернизировала линию производства проката",металлургия
"ММК запустил новый агрегат на металлургическом комбинате",металлургия
"На заводе начали выпуск стальной заготовки",металлургия
"Металлурги увеличили производство ферросплавов",металлургия
"Предприятие расширяет выпуск листового металла",металлургия
"Красцветмет развивает технологии переработки палладия",металлургия
"На комбинате обновили оборудование для плавки металла",металлургия
"РУСАЛ сообщил о росте производства алюминиевой продукции",металлургия
"Металлургический завод увеличил выпуск арматуры",металлургия
"На предприятии модернизировали сталеплавильное производство",металлургия
"Компания освоила производство холоднокатаного проката",металлургия
"Мечел расширяет выпуск металлопродукции",металлургия
"На комбинате обновили доменную печь",металлургия
"Предприятие увеличило переработку никелевой руды",металлургия
"Производитель металлопроката запустил новый цех",металлургия
"На заводе освоили выпуск ферросплавов",металлургия
"Компания поставила алюминиевые сплавы для промышленности",металлургия
